slug,farmaco_slug,doenca_slug,tipo_interacao,severidade,motivo_pt,motivo_en,conselho_pt,conselho_en,fonte_pt,fonte_en,estado
metformina_acidose_metabolica,metformina,acidose_metabolica,contraindication,critical,"A acidose metabólica aguda (láctica, cetoacidose diabética) e o pré-coma diabético são contraindicações absolutas.","Acute metabolic acidosis (lactic, diabetic ketoacidosis) and diabetic pre-coma are absolute contraindications.","Não utilizar em doentes com acidose; se houver suspeita de acidose láctica, suspender e procurar avaliação médica urgente.","Do not use in patients with acidosis; if lactic acidosis is suspected, stop and seek urgent medical evaluation.",EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
metformina_insuficiencia_hepatica,metformina,insuficiencia_hepatica,contraindication,critical,A insuficiência hepática reduz a depuração do lactato e predispõe à acidose láctica.,Hepatic insufficiency reduces lactate clearance and predisposes to lactic acidosis.,Evitar a metformina em doentes com insuficiência hepática ou alcoolismo.,Avoid metformin in patients with hepatic insufficiency or alcoholism.,EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
metformina_hipoxia_tecidual,metformina,hipoxia_tecidual,contraindication,critical,"A insuficiência cardíaca descompensada, a insuficiência respiratória, o enfarte do miocárdio recente e o choque aumentam o risco de acidose láctica.","Decompensated heart failure, respiratory failure, recent myocardial infarction and shock increase the risk of lactic acidosis.",Não iniciar durante estados hipóxicos agudos; suspender durante esses episódios e reavaliar após estabilização.,Do not start during acute hypoxic states; stop during such episodes and reassess after stabilisation.,EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
metformina_melas_midd,metformina,melas_midd,precaution,moderate,"Em doentes com MELAS ou MIDD, a metformina não é recomendada pelo risco de exacerbação da acidose láctica e de complicações neurológicas.","In patients with MELAS or MIDD, metformin is not recommended due to the risk of worsening lactic acidosis and neurological complications.",Evitar a metformina nestes doentes; suspender e avaliar de imediato se surgirem sinais sugestivos.,Avoid metformin in these patients; stop and evaluate promptly if suggestive signs appear.,EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
metformina_contraste_iodado,metformina,contraste_iodado,precaution,moderate,"O contraste iodado pode causar nefropatia induzida por contraste, com acumulação da metformina e risco de acidose láctica.","Iodinated contrast can cause contrast-induced nephropathy, with metformin accumulation and lactic acidosis risk.","Suspender a metformina no momento do exame e retomar apenas 48 horas depois, se a função renal se mantiver estável.",Stop metformin at the time of the scan and resume only 48 hours later if renal function remains stable.,EMC-UK (MHRA) — SmPC aprovada Metformina: https://www.medicines.org.uk/emc/product/987/smpc,EMC-UK (MHRA) — approved Metformin SmPC: https://www.medicines.org.uk/emc/product/987/smpc,publicado
morfina_depressao_respiratoria,morfina,depressao_respiratoria,contraindication,critical,"A morfina pode provocar ou agravar a depressão respiratória, riso em doentes com insuficiência respiratória.","Morphine may cause or worsen respiratory depression, a risk in patients with respiratory insufficiency.",Contraindicada na depressão respiratória grave; usar com extrema cautela noutras insuficiências respiratórias.,Contraindicated in severe respiratory depression; use with extreme caution in other respiratory insufficiency.,EMC-UK (MHRA) — SmPC aprovada MST Continus (Morfina): https://www.medicines.org.uk/emc/product/7664/smpc,EMC-UK (MHRA) — approved MST Continus SmPC: https://www.medicines.org.uk/emc/product/7664/smpc,publicado
morfina_ileo_paralitico,morfina,ileo_paralitico,contraindication,critical,Os opioides reduzem a motilidade gastrointestinal e podem causar ou agravar o íleo paralítico.,Opioids reduce gastrointestinal motility and may cause or worsen paralytic ileus.,Contraindicado em doentes com íleo paralitico; vigiar obstipação grave.,Contraindicated in paralytic ileus; monitor for severe constipation.,EMC-UK (MHRA) — SmPC aprovada MST Continus (Morfina): https://www.medicines.org.uk/emc/product/7664/smpc,EMC-UK (MHRA) — approved MST Continus SmPC: https://www.medicines.org.uk/emc/product/7664/smpc,publicado
codeina_asma_grave,codeina,asma_grave,contraindication,critical,A codeína pode causar broncospasmo e exacerbar a asma.,Codeine may cause bronchospasm and worsen asthma.,Contraindicada em asma grave e em doentes com broncoespasmo induzido por opioides.,Contraindicated in severe asthma and in patients with opioid-induced bronchospasm.,EMC-UK (MHRA) — SmPC aprovada Codeine Linctus (Codeína): https://www.medicines.org.uk/emc/product/4512/smpc,EMC-UK (MHRA) — approved Codeine Linctus SmPC: https://www.medicines.org.uk/emc/product/4512/smpc,publicado
codeina_criancas,codeina,criancas,contraindication,critical,A codeína não é recomendada em crianças (metabolism from genetics); risco de depressão respiratória grave.,Codeine is not recommended in children due to genetic metabolism variability; risk of severe respiratory depression.,Contraindicada em crianças < 12 anos e em populations de metabolizadores ultra-rápidos.,Contraindicated in children < 12 years and ultra-rapid metabolisers.,EMC-UK (MHRA) — SmPC aprovada Codeine Linctus: https://www.medicines.org.uk/emc/product/4512/smpc,EMC-UK (MHRA) — approved Codeine Linctus SmPC: https://www.medicines.org.uk/emc/product/4512/smpc,publicado
fentanilo_depressao_respiratoria,fentanilo,depressao_respiratoria,contraindication,critical,O fentanilo deprime o centro respiratório e é contraindicado na depressão respiratória grave.,Fentanyl depresses the respiratory centre and is contraindicated in severe respiratory depression.,Contraindicado; em doenças pulmonares crónicas usar com precaução e vigiar a respiração.,Contraindicated; use with caution and monitor respiration in chronic pulmonary disease.,EMC-UK (MHRA) — SmPC aprovada Durogesic DTrans (Fentanilo): https://www.medicines.org.uk/emc/product/6942/smpc,EMC-UK (MHRA) — approved Durogesic DTrans (Fentanyl) SmPC: https://www.medicines.org.uk/emc/product/6942/smpc,publicado
fentanilo_febre,fentanilo,febre,precaution,moderate,A febre ou o calor externo aumentam a libertação de fentanilo do adesivo transdérmico.,Fever or external heat increases fentanyl release from the transdermal patch.,"Aconselhar a evitar fontes de calor (sauna, banho quente, sol) e vigiar sinais de sobredosagem.","Advise avoiding heat sources (sauna, hot bath, sun) and monitor for overdose signs.",EMC-UK (MHRA) — SmPC aprovada Durogesic DTrans (Fentanilo): https://www.medicines.org.uk/emc/product/6942/smpc,EMC-UK (MHRA) — approved Durogesic DTrans (Fentanyl) SmPC: https://www.medicines.org.uk/emc/product/6942/smpc,publicado
hidromorfona_depressao_respiratoria,hidromorfona,depressao_respiratoria,contraindication,critical,A hidromorfona pode causar ou agravar a depressão respiratória.,Hydromorphone may cause or worsen respiratory depression.,"Contraindicada na depressão respiratória grave; precaução na DPOC, asma e apneia do sono.","Contraindicated in severe respiratory depression; caution in COPD, asthma and sleep apnoea.",EMC-UK (MHRA) — SmPC aprovada Palladone SR (Hidromorfona): https://www.medicines.org.uk/emc/product/1018/smpc,EMC-UK (MHRA) — approved Palladone SR (Hydromorphone) SmPC: https://www.medicines.org.uk/emc/product/1018/smpc,publicado
hidromorfona_ileo_paralitico,hidromorfona,ileo_paralitico,contraindication,critical,Os opioides reduzem a motilidade gastrointestinal e podem agravar o íleo paralítico.,Opioids reduce GI motility and may worsen paralytic ileus.,Contraindicada em doentes com íleo paralitico ou abdómen agudo.,Contraindicated in patients with paralytic ileus or acute abdomen.,EMC-UK (MHRA) — SmPC aprovada Palladone SR (Hidromorfona): https://www.medicines.org.uk/emc/product/1018/smpc,EMC-UK (MHRA) — approved Palladone SR (Hydromorphone) SmPC: https://www.medicines.org.uk/emc/product/1018/smpc,publicado
buprenorfina_insuf_respiratoria,buprenorfina,insuf_respiratoria,contraindication,critical,A buprenorfina pode causar depressão respiratória clinicamente significativa.,Buprenorphine may cause clinically significant respiratory depression.,Contraindicada na insuficiência respiratória grave.,Contraindicated in severe respiratory impairment.,EMC-UK (MHRA) — SmPC aprovado BuTrans (Buprenorfina): https://www.medicines.org.uk/emc/product/7645/smpc,EMC-UK (MHRA) — approved BuTrans (Buprenorphine) SmPC: https://www.medicines.org.uk/emc/product/7645/smpc,publicado
buprenorfina_dependencia_opioides,buprenorfina,dependencia_opioides,contraindication,critical,Pode precipitar síndrome de privação em doentes dependentes de opioides agonistas plenos.,May precipitate withdrawal in patients dependent on full opioid agonists.,"Contraindicada em doentes dependentes, exceto em programas estruturados.","Contraindicated in dependent patients, except in structured programmes.",EMC-UK (MHRA) — SmPC aprovado BuTrans (Buprenorfina): https://www.medicines.org.uk/emc/product/7645/smpc,EMC-UK (MHRA) — approved BuTrans (Buprenorphine) SmPC: https://www.medicines.org.uk/emc/product/7645/smpc,publicado
donepezilo_doenca_no_sinusal,donepezilo,doenca_no_sinusal,precaution,moderate,"O donepezilo, colinomimético, pode causar bradicardia e bloquear a condução cardíaca.","Donepezil, a cholinesterase inhibitor, may cause bradycardia and cardiac conduction block.",Usar com precaução em doentes com síndrome do nó sinusal ou distúrbios de condução; vigiar o ECG.,Use with caution in sick sinus syndrome or conduction disorders; monitor the ECG.,EMC-UK (MHRA) — SmPC aprovada Aricept (Donepezilo): https://www.medicines.org.uk/emc/product/13283/smpc,EMC-UK (MHRA) — approved Aricept (Donepezil) SmPC: https://www.medicines.org.uk/emc/product/13283/smpc,publicado
donepezilo_ulcera_peptica,donepezilo,ulcera_peptica,precaution,moderate,O aumento da atividade colinérgica pode aumentar o risco de hemorragia e úlcera gastrointestinal.,Increased cholinergic activity may increase the risk of gastrointestinal bleeding and ulceration.,Vigiar sintomas gastrointestinais e considerar precaução com AINE em simultâneo.,Monitor gastrointestinal symptoms and use caution with concurrent NSAIDs.,EMC-UK (MHRA) — SmPC aprovada Aricept (Donepezilo): https://www.medicines.org.uk/emc/product/13283/smpc,EMC-UK (MHRA) — approved Aricept (Donepezil) SmPC: https://www.medicines.org.uk/emc/product/13283/smpc,publicado
memantina_epilepsia,memantina,epilepsia,precaution,moderate,A memantina pode reduzir o limiar convulsivo.,Memantine may lower the convulsion threshold.,Usar com precaução em doentes com epilepsia ou história de convulsões.,Use with caution in patients with epilepsy or a history of seizures.,EMC-UK (MHRA) — SmPC aprovada Ebixa (Memantina): https://www.medicines.org.uk/emc/product/8222/smpc,EMC-UK (MHRA) — approved Ebixa (Memantine) SmPC: https://www.medicines.org.uk/emc/product/8222/smpc,publicado
metamizol_agranulocitose_historico,metamizol,agranulocitose_historico,contraindication,critical,Risco recorrente e potencialmente fatal de agranulocitose após exposição prévia.,Recurrent and potentially fatal risk of agranulocytosis after previous exposure.,Contra indicado; advertir para sinais de infecção que exijam hemograma imediato.,Contraindicated; warn about signs of infection requiring an immediate blood count.,SmPC nacional Analgin 500 mg (HALMED) ; EMA — Metamizole (Article 31 referral): https://www.ema.europa.eu/en/medicines/human/referrals/metamizole-containing-medicinal-products,National Analgin 500 mg SmPC (HALMED) ; EMA — Metamizole (Article 31 referral): https://www.ema.europa.eu/en/medicines/human/referrals/metamizole-containing-medicinal-products,publicado
flecainida_cardiopatia_estrutural,flecainida,cardiopatia_estrutural,contraindication,critical,"A flecainida é contraindicada em doentes com cardiopatia estrutural ou disfunção ventricular, pelo risco de proarrítmia e morte súbita.",Flecainide is contraindicated in structural heart disease or ventricular dysfunction because of the risk of proarrhythmia and sudden death.,"Não usar em doentes com doença cardíaca estrutural, enfarte do miocárdio prévio ou disfunção ventricular esquerda.","Do not use in structural heart disease, prior myocardial infarction or left ventricular dysfunction.",EMC-UK (MHRA) — SmPC aprovada Flecainida: https://www.medicines.org.uk/emc/product/3086/smpc,EMC-UK (MHRA) — approved Flecainide SmPC: https://www.medicines.org.uk/emc/product/3086/smpc,publicado
propafenona_cardiopatia_estrutural,propafenona,cardiopatia_estrutural,contraindication,critical,"A propafenona está contraindicada em doentes com cardiopatia estrutural ou disfunção ventricular, pelo risco de proarrítmia.",Propafenone is contraindicated in structural heart disease or ventricular dysfunction because of the risk of proarrhythmia.,Não usar em doentes com doença cardíaca estrutural ou disfunção ventricular esquerda.,Do not use in structural heart disease or left ventricular dysfunction.,EMC-UK (MHRA) — SmPC aprovada Propafenona: https://www.medicines.org.uk/emc/product/1733/smpc,EMC-UK (MHRA) — approved Propafenone SmPC: https://www.medicines.org.uk/emc/product/1733/smpc,publicado
sotalol_asma_dpoc,sotalol,asma_dpoc,contraindication,critical,"O sotalol possui atividade betabloqueadora e está contraindicado em doentes com asma brônquica ou DPOC, pelo risco de broncospasmo.",Sotalol has beta-blocking activity and is contraindicated in bronchial asthma or COPD because of the risk of bronchospasm.,Não usar em doentes com asma ou DPOC; considerar um antiarrítmico classe III sem bloqueio beta.,Do not use in asthma or COPD; consider a class III antiarrhythmic without beta-blockade.,EMC-UK (MHRA) — SmPC aprovada Sotalol: https://www.medicines.org.uk/emc/product/7039/smpc,EMC-UK (MHRA) — approved Sotalol SmPC: https://www.medicines.org.uk/emc/product/7039/smpc,publicado
sotalol_prolongamento_qt,sotalol,prolongamento_qt,contraindication,critical,O sotalol prolonga o intervalo QT e está contraindicado em doentes com prolongamento QT congénito ou antecedentes de torsades de pointes.,Sotalol prolongs the QT interval and is contraindicated in congenital QT prolongation or a history of torsades de pointes.,Não usar; verificar o QT basal no ECG antes de iniciar e monitorizar o QT durante o tratamento.,Do not use; check baseline QT on ECG before starting and monitor QT during treatment.,EMC-UK (MHRA) — SmPC aprovada Sotalol: https://www.medicines.org.uk/emc/product/7039/smpc,EMC-UK (MHRA) — approved Sotalol SmPC: https://www.medicines.org.uk/emc/product/7039/smpc,publicado
etilefrina_hipertensao_grave,etilefrina,hipertensao_grave,contraindication,critical,"A etilefrina, como simpatomimético, está contraindicada em doentes com hipertensão grave, pelo risco de crise hipertensiva.","Etilefrine, being a sympathomimetic, is contraindicated in severe hypertension because of the risk of a hypertensive crisis.",Não usar em doentes com hipertensão grave ou não controlada.,Do not use in patients with severe or uncontrolled hypertension.,"Prontuário Terapêutico do INFARMED (11.ª ed., 2012) — Etilefrina","Prontuário Terapêutico do INFARMED (11th ed., 2012) — Etilefrine",publicado
midodrina_hipertensao_supina,midodrina,hipertensao_supina,contraindication,critical,"A midodrina está contraindicada em doentes com hipertensão, sobretudo hipertensão em decúbito, e em doença cardiovascular grave, pelo risco de elevação pressórica perigosa.","Midodrine is contraindicated in hypertension, particularly supine hypertension, and severe cardiovascular disease because of the risk of dangerous blood pressure elevation.",Não usar em doentes hipertensos; monitorizar a tensão arterial em decúbito e em ortostatismo.,Do not use in hypertensive patients; monitor supine and standing blood pressure.,EMC-UK (MHRA) — SmPC aprovada Midodrina: https://www.medicines.org.uk/emc/product/12040/smpc,EMC-UK (MHRA) — approved Midodrine SmPC: https://www.medicines.org.uk/emc/product/12040/smpc,publicado
bumetanida_anuria,bumetanida,anuria,contraindication,critical,"A bumetanida está contraindicada em doentes com anúria, uma vez que o efeito diurético depende de uma função renal adequada.",Bumetanide is contraindicated in anuria because the diuretic effect depends on adequate renal function.,Não usar em doentes com anúria.,Do not use in patients with anuria.,EMC-UK (MHRA) — SmPC aprovada Bumetanida: https://www.medicines.org.uk/emc/product/13372/smpc,EMC-UK (MHRA) — approved Bumetanide SmPC: https://www.medicines.org.uk/emc/product/13372/smpc,publicado
